# x_m,y_m,w_tr_right_m,w_tr_left_m
-27.69443,131.2033,3.5,3.5
-26.36327,130.063,3.5,3.5
-25.04298,128.8524,3.5,3.5
-23.79025,127.6304,3.5,3.5
-22.55972,126.3603,3.5,3.5
-21.35075,125.045,3.5,3.5
-20.19935,123.7295,3.5,3.5
-19.06009,122.3672,3.5,3.5
-17.95044,120.9816,3.5,3.5
-16.88046,119.59,3.5,3.5
-15.82334,118.1607,3.5,3.5
-14.79588,116.7187,3.5,3.5
-13.79923,115.2694,3.5,3.5
-12.81606,113.7897,3.5,3.5
-11.85886,112.3003,3.5,3.5
-10.92858,110.8055,3.5,3.5
-10.01248,109.2865,3.5,3.5
-9.117894,107.7568,3.5,3.5
-8.248256,106.2243,3.5,3.5
-7.393578,104.673,3.5,3.5
-6.557021,103.1095,3.5,3.5
-5.743625,101.5445,3.5,3.5
-4.946113,99.96545,3.5,3.5
-4.165243,98.37431,3.5,3.5
-3.404874,96.77989,3.5,3.5
-2.661457,95.17562,3.5,3.5
-1.935354,93.56274,3.5,3.5
-1.226132,91.94066,3.5,3.5
-0.5350158,90.31252,3.5,3.5
0.1375055,88.67986,3.5,3.5
0.7947772,87.0345,3.5,3.5
1.434003,85.38313,3.5,3.5
2.053055,83.73138,3.5,3.5
2.656326,82.06712,3.5,3.5
3.242554,80.39274,3.5,3.5
3.806628,78.7224,3.5,3.5
4.353139,77.04178,3.5,3.5
4.883345,75.34485,3.5,3.5
5.388936,73.65681,3.5,3.5
5.874774,71.96016,3.5,3.5
6.343555,70.24168,3.5,3.5
6.784539,68.53796,3.5,3.5
7.203952,66.82236,3.5,3.5
7.602537,65.08515,3.5,3.5
7.969309,63.3696,3.5,3.5
8.312986,61.62844,3.5,3.5
8.627865,59.87841,3.5,3.5
8.905619,58.15894,3.5,3.5
9.157524,56.38149,3.5,3.5
9.367969,54.63071,3.5,3.5
9.53775,52.88005,3.5,3.5
9.664828,51.09624,3.5,3.5
9.738849,49.3681,3.5,3.5
9.757979,47.55897,3.5,3.5
9.711958,45.81985,3.5,3.5
9.587202,44.02711,3.5,3.5
9.378294,42.30053,3.5,3.5
9.052651,40.53184,3.5,3.5
8.613177,38.86506,3.5,3.5
8.022051,37.20327,3.5,3.5
7.299932,35.59148,3.5,3.5
6.460603,34.03487,3.5,3.5
5.523679,32.54352,3.5,3.5
4.48912,31.09636,3.5,3.5
3.395063,29.72584,3.5,3.5
2.216897,28.38452,3.5,3.5
1.008947,27.11929,3.5,3.5
-0.269893,25.87435,3.5,3.5
-1.563172,24.69425,3.5,3.5
-2.916461,23.52826,3.5,3.5
-4.270288,22.41982,3.5,3.5
-5.675963,21.32002,3.5,3.5
-7.076889,20.26745,3.5,3.5
-8.516039,19.22441,3.5,3.5
-9.957805,18.21252,3.5,3.5
